Clave,Nombre,HASC_1,Total,Auto,Cam_Pas,Cam_Carg,Moto
01,Aguascalientes,MX.AG,543800,342003,1476,148906,51415
07,Chiapas,MX.CP,809822,407593,8323,301363,92543
19,Nuevo León,MX.NL,1997592,1488363,8320,441012,59897
20,Oaxaca,MX.OA,527466,231449,7870,198337,89810
02,Baja California,MX.BN,1169911,892245,6084,254848,16734
21,Puebla,MX.PU,1419604,900498,10813,438032,70261
22,Querétaro,MX.QE,498347,351523,3672,121019,22133
23,Quintana Roo,MX.QR,688047,410125,2542,105788,169592
24,San Luis Potosí,MX.SL,1074426,579965,4499,354151,135811
25,Sinaloa,MX.SI,1176099,685940,7749,396276,86134
26,Sonora,MX.SO,967700,628751,4902,316318,17729
27,Tabasco,MX.TB,568367,336385,3020,145228,83734
28,Tamaulipas,MX.TM,1154222,793125,5926,335507,19664
29,Tlaxcala,MX.TL,445909,327139,6131,86496,26143
08,Chihuahua,MX.CH,1634548,1139419,7929,465140,22060
30,Veracruz de Ignacio de la Llave,MX.VE,1919354,1138280,13111,619157,148806
03,Baja California Sur,MX.BS,457900,305197,5468,138768,8467
31,Yucatán,MX.YU,722719,450075,2700,126414,143530
32,Zacatecas,MX.ZA,434935,215378,1958,196043,21556
09,Ciudad de México,MX.DF,5725574,5332167,27592,108280,257535
04,Campeche,MX.CM,284605,144234,891,59899,79581
10,Durango,MX.DU,595014,371569,2646,205753,15046
11,Guanajuato,MX.GJ,1883204,1033519,27611,562749,259325
12,Guerrero,MX.GR,1076055,761817,57474,213413,43351
05,Coahuila de Zaragoza,MX.CA,800196,493857,77572,226522,2245
13,Hidalgo,MX.HI,1014157,595124,3961,401512,13560
14,Jalisco,MX.JA,3429847,2012979,11538,1043027,362303
15,México,MX.MX,6549299,4989507,21555,1147859,390378
16,Michoacán de Ocampo,MX.MC,2078184,1034859,13260,873049,157016
06,Colima,MX.CL,312913,161833,1361,98124,51595
17,Morelos,MX.MR,576327,410535,5601,118961,41230
18,Nayarit,MX.NA,396424,198704,1864,167983,27873
